id,first_name,last_name,email,gender,national_id,phone,address,emergency_contact_name,emergency_contact_phone,department,position,employment_type,status,start_date,bank_account_number,bank_name,base_salary,housing_allowance,transport_allowance,meal_subsidy,tax_filing_status,tax_exemptions
1,Ree,Talton,rtalton0@columbia.edu,Female,808-57-0053,160-874-2569,Suite 59,Ree Talton,160-141-6704,Operations,Supervisor,FULL_TIME,ON_LEAVE (10%),8/18/2024,2155191480530039,St. Francis' Credit Union Limited,78705,2308.61,187.1,90.29,HEAD_OF_HOUSEHOLD,2.55
2,Murvyn,Lucks,mlucks1@clickbank.net,Male,684-35-7368,129-271-7486,PO Box 35409,Murvyn Lucks,927-534-7627,Marketing,Manager,PART_TIME,TERMINATED (10%),9/7/2023,7226871778722614,Coop Pank AS,70547,2451.54,402.8,109.24,SINGLE,2.16
3,Kristopher,Elham,kelham2@pcworld.com,Male,171-16-1110,557-632-0281,Apt 1727,Kristopher Elham,428-527-2299,Engineering,Supervisor,FULL_TIME,ON_LEAVE (10%),6/8/2020,2328941768870473,COMERICA BANK,85551,1371.74,243.7,122.62,SINGLE,3.28
4,Marj,Stanney,mstanney3@altervista.org,Female,321-22-2769,775-547-6579,7th Floor,Marj Stanney,877-452-7587,HR,Specialist,PART_TIME,ACTIVE (80%),7/6/2022,6031431108007736,SECURITY BANK,142142,2385.75,268.92,117.47,HEAD_OF_HOUSEHOLD,2.57
5,Fernanda,Radki,fradki4@naver.com,Genderfluid,439-36-0609,564-882-3951,Suite 67,Fernanda Radki,129-234-8353,Marketing,Assistant Manager,FULL_TIME,ON_LEAVE (10%),1/3/2018,0056566159009585,Caisse régionale de crédit agricole mutuel du Nord Est,56878,1275.97,197.18,129.17,SINGLE,1.74
6,Starlene,Stains,sstains5@uiuc.edu,Female,678-14-2944,752-675-0743,Room 1789,Starlene Stains,800-510-7607,Operations,Assistant Manager,CONTRACT,ACTIVE (80%),3/14/2018,6268257160304016,Carrickmacross Credit Union Limited,61090,818.9,229.42,59.72,SINGLE,3.86
7,Andres,Trolley,atrolley6@stumbleupon.com,Male,401-31-9009,118-797-0075,20th Floor,Andres Trolley,500-964-7771,Engineering,Manager,FULL_TIME,TERMINATED (10%),10/18/2023,8918769360610331,CITIZENS BANK,151343,2892.2,392.55,63.0,SINGLE,2.39
8,Arther,Airdrie,aairdrie7@ebay.co.uk,Male,326-50-5888,922-766-4980,PO Box 21222,Arther Airdrie,648-818-0600,Sales,Supervisor,CONTRACT,TERMINATED (10%),7/15/2022,4664523009220497,PNC BANK,88953,1258.63,166.64,134.68,SINGLE,0.9
9,Urbano,Rozenzweig,urozenzweig8@theatlantic.com,Male,628-29-7734,677-623-0177,Room 728,Urbano Rozenzweig,280-795-0210,Marketing,Supervisor,CONTRACT,TERMINATED (10%),12/25/2019,0986836774599914,Epargne crédit des militaires (E.C.M.),114143,1614.11,197.92,147.85,HEAD_OF_HOUSEHOLD,1.85
10,Cross,Varrow,cvarrow9@1und1.de,Male,411-78-9799,402-173-1375,Apt 1968,Cross Varrow,545-910-1150,Marketing,Supervisor,FULL_TIME,TERMINATED (10%),9/28/2019,9508259826765086,CITIBANK,110033,2932.58,482.97,75.54,HEAD_OF_HOUSEHOLD,3.54
11,Lay,Menendes,lmenendesa@pinterest.com,Male,646-24-7626,989-429-3109,Suite 49,Lay Menendes,604-276-5295,Finance,Specialist,CONTRACT,TERMINATED (10%),2/17/2024,5958255354975950,BANK OF INDIA,107401,2837.95,252.83,132.2,HEAD_OF_HOUSEHOLD,3.67
12,Orlando,Cattermull,ocattermullb@craigslist.org,Male,252-71-9640,391-490-9503,Room 293,Orlando Cattermull,195-503-5647,Operations,Analyst,PART_TIME,ON_LEAVE (10%),4/4/2024,4095316564819990,CITIZENS BANK,79538,1649.59,358.29,103.08,SINGLE,3.07
13,Randell,Thor,rthorc@harvard.edu,Male,126-59-7964,686-261-3925,PO Box 8394,Randell Thor,270-686-4967,Engineering,Manager,PART_TIME,ON_LEAVE (10%),12/21/2020,6965060716304964,BCC VENETA - CREDITO COOPERATIVO - SOCIETÀ COOPERATIVA,71541,2573.22,288.91,196.5,MARRIED_FILING_JOINTLY,2.8
14,Blanche,Millan,bmilland@cpanel.net,Female,838-08-4658,398-790-1877,Apt 1439,Blanche Millan,140-437-2016,Sales,Manager,PART_TIME,ACTIVE (80%),4/14/2024,3482278977635616,Sparkasse Wittenberg,91571,894.66,292.16,185.4,MARRIED_FILING_JOINTLY,2.47
15,Clay,Ace,cacee@toplist.cz,Male,869-54-9158,244-611-0337,9th Floor,Clay Ace,661-539-1652,Engineering,Assistant Manager,PART_TIME,TERMINATED (10%),2/26/2024,3511096722818230,Sparkasse LeerWittmund,140659,658.25,426.02,103.88,MARRIED_FILING_JOINTLY,1.63
16,Casi,Youngs,cyoungsf@360.cn,Female,690-41-6668,693-724-7228,Apt 1188,Casi Youngs,390-410-0050,Operations,Specialist,FULL_TIME,TERMINATED (10%),8/9/2019,7728467019565499,Raiffeisenbank MEHR eG Mosel - Eifel - Hunsrück - Region,121285,1089.49,350.63,129.97,SINGLE,1.8
17,Waring,Cobon,wcobong@oakley.com,Male,125-05-2946,361-855-5220,Apt 1883,Waring Cobon,115-733-2434,HR,Team Lead,FULL_TIME,ACTIVE (80%),4/27/2018,0674635136352331,ProCredit Bank AG,151260,1580.38,213.8,174.49,HEAD_OF_HOUSEHOLD,3.42
18,Hermy,Sprason,hsprasonh@amazon.co.uk,Male,400-25-2430,211-340-4042,9th Floor,Hermy Sprason,580-570-8000,Operations,Supervisor,CONTRACT,ACTIVE (80%),8/24/2023,4892905166531847,US BANK,75302,1027.82,492.65,105.37,HEAD_OF_HOUSEHOLD,1.97
19,Hunt,Eastman,heastmani@pbs.org,Male,343-50-5052,244-457-9180,5th Floor,Hunt Eastman,794-698-4003,Operations,Supervisor,PART_TIME,ON_LEAVE (10%),6/27/2021,8944872565453363,MUFG UNION BANK,85484,714.09,465.64,78.25,SINGLE,1.27
20,Bernie,Ledward,bledwardj@shop-pro.jp,Female,424-76-3629,393-218-2561,Suite 46,Bernie Ledward,766-818-6446,Engineering,Analyst,CONTRACT,ON_LEAVE (10%),6/19/2019,5786161010585101,BRD - Groupe Societe Generale S.A.,132822,2423.29,419.44,122.2,SINGLE,0.17
21,Jackson,Bertomier,jbertomierk@meetup.com,Male,718-19-5557,503-372-5233,Room 1329,Jackson Bertomier,335-128-6378,HR,Team Lead,FULL_TIME,ACTIVE (80%),6/10/2019,3657057044065365,NEW YORK COMMUNITY BANK,61600,2689.13,251.48,94.5,SINGLE,2.38
22,Tobey,Brader,tbraderl@vkontakte.ru,Female,341-71-3629,275-406-4827,Apt 1425,Tobey Brader,682-158-7777,Marketing,Manager,CONTRACT,TERMINATED (10%),8/1/2021,8389594373531399,FARMERS & MERCHANTS BANK,37502,1206.84,225.98,108.86,SINGLE,3.85
23,Shellie,Redshaw,sredshawm@sogou.com,Female,549-06-8580,513-471-5981,2nd Floor,Shellie Redshaw,439-861-2888,Engineering,Supervisor,CONTRACT,ON_LEAVE (10%),9/16/2020,3481383891242066,Säästöpankkien Keskuspankki Suomi Oyj,59266,615.21,340.14,76.56,HEAD_OF_HOUSEHOLD,1.52
24,Kessiah,Ungerechts,kungerechtsn@deliciousdays.com,Female,634-13-1827,543-865-1681,Room 1480,Kessiah Ungerechts,648-567-1774,Finance,Supervisor,PART_TIME,ON_LEAVE (10%),11/15/2020,0921580278429224,Compagnie générale de crédit aux particuliers - Crédipar,61010,2746.92,200.97,192.87,MARRIED_FILING_JOINTLY,2.7
25,Xylina,Georgiev,xgeorgievo@1688.com,Female,540-34-2596,285-450-9212,PO Box 71122,Xylina Georgiev,891-185-2268,Operations,Team Lead,FULL_TIME,TERMINATED (10%),12/9/2023,4888262410109071,CAPITAL CITY BANK,67532,986.44,296.32,65.28,HEAD_OF_HOUSEHOLD,1.08
26,Ginnie,Beamont,gbeamontp@blogspot.com,Female,779-10-9969,654-934-8655,Suite 44,Ginnie Beamont,778-935-9677,HR,Assistant Manager,PART_TIME,TERMINATED (10%),3/19/2019,9562752487344609,GLACIER BANK,141823,2868.25,171.58,158.45,MARRIED_FILING_JOINTLY,2.14
